team1,score1,team2,score2
Brother Rice,13.0,St Patrick,3.0
Curie,20.0,Brooks,4.0
Elk Grove,21.0,Wheeling,14.0
Fenwick,10.0,St Rita,7.0
Hersey,10.0,Libertyville,9.0
Jones-Payton,10.0,Northside,9.0
Kenwood,17.0,Prosser,7.0
Kennedy,9.0,Amundsen,8.0
Lindblom,14.0,Julian,1.0
LWC,13.0,H-F,6.0
LWW,13.0,H-F,7.0
LWW,15.0,LWC,13.0
York,20.0,Oak Park,2.0
Elk Grove,14.0,Maine East,8.0
GBN,18.0,Lake Forest,6.0
Lane,10.0,Northside,1.0
LWW,17.0,Bremen,4.0
Metea,17.0,LWC,8.0
Neuqua,15.0,Barrington,13.0
Senn,21.0,Little Village,1.0
Waubonsie,12.0,Lockport,8.0
Whitney Young,18.0,Taft,11.0
Barrington,23.0,Elk Grove,1.0
Curie,16.0,Julian,1.0
Deerfield,18.0,Warren,16.0
Fenwick,18.0,St Patrick,4.0
Fremd,17.0,Prospect,9.0
Hersey,14.0,Conant,6.0
Hoffman,16.0,Meadows,12.0
Jones-Payton,13.0,Westinghouse,6.0
Lane,11.0,Von,7.0
Lindblom,14.0,Solorio,4.0
McHenry,7.0,VH,6.0
Mt Carmel,20.0,St Ignatius,16.0
Prosser,3.0,Chicago Ag,0.0
Schaumburg,7.0,BG,4.0
Shepard,5.0,Stagg,0.0
St Rita,9.0,Loyola,7.0
York,20.0,Morton,2.0
Elk Grove,19.0,Leyden,9.0
Kennedy,15.0,Senn,7.0
LWW,9.0,Metea,8.0
NN,14.0,New Trier,6.0
NN,16.0,York,10.0
Schaumburg,16.0,Lockport,8.0
Stevenson,17.0,Conant,6.0
STC,8.0,Maine South,5.0
Waubonsie,17.0,Sandburg,5.0
Westinghouse,18.0,Little Village,0.0
Whitney Young,21.0,Curie,8.0
York,10.0,New Trier,8.0
McHenry,8.0,Elk Grove,4.0
BG,15.0,Deerfield,9.0
Warren,11.0,Lake Forest,7.0
Maine West,8.0,Libertyville,7.0
Deerfield,16.0,Warren,6.0
Libertyville,8.0,McHenry,2.0
BG,13.0,Lake Forest,3.0
Maine West,13.0,Elk Grove,5.0
Palatine,8.0,St Rita,5.0
Oak Park,10.0,Waubonsie,9.0
Fenwick,13.0,Andrew,7.0
St Rita,6.0,Loyola,3.0
Waubonsie,17.0,St Ignatius,8.0
Fenwick,14.0,Mundelein,4.0
Kenwood,11.0,Amundsen,6.0
Taft,12.0,Solorio,4.0
Solorio,11.0,Amundsen,6.0
Kenwood,9.0,Taft,8.0
Bradley,8.0,Shepard,7.0
Shepard,,R-B,
Bradley,,R-B,
Niles West,15.0,LWC,12.0
Niles West,11.0,H-F,5.0
LWC,9.0,H-F,8.0
H-F,10.0,R-B,4.0
LWC,17.0,Shepard,5.0
Niles West,14.0,Bradley,5.0
Deerfield,15.0,Lake Forest,1.0
Libertyville,15.0,Elk Grove,2.0
BG,16.0,Warren,4.0
Elk Grove,13.0,Lake Forest,8.0
McHenry,5.0,Warren,3.0
Libertyville,14.0,Deerfield,7.0
Maine West,13.0,BG,8.0
GBS,11.0,Conant,6.0
STC,10.0,HC,7.0
STC,5.0,GBS,4.0
GBS,8.0,HC,5.0
STC,16.0,Conant,0.0
HP,9.0,VH,7.0
Hersey,13.0,Maine East,2.0
VH,14.0,Von,8.0
Schaumburg,13.0,Maine East,1.0
HP,,Von,
Hersey,4.0,Schaumburg,2.0
Schaumburg,13.0,VH,5.0
Hersey,9.0,HP,3.0
LWE,17.0,Metea,2.0
NC,12.0,Maine South,7.0
LWE,12.0,Maine South,2.0
NC,12.0,Metea,6.0
Maine South,14.0,Metea,11.0
LWE,17.0,NC,10.0
Palatine,12.0,Loyola,7.0
Oak Park,17.0,St Ignatius,11.0
Andrew,10.0,Mundelein,5.0
Oak Park,12.0,Palatine,7.0
Waubonsie,10.0,St Rita,9.0
Loyola,9.0,St Ignatius,6.0
Fenwick,11.0,Oak Park,7.0
Waubonsie,7.0,Andrew,6.0
Mundelein,20.0,St Ignatius,6.0
Palatine,10.0,Fenwick,7.0
St Rita,5.0,Andrew,3.0
Mundelein,10.0,Loyola,6.0
Mt Carmel,15.0,St Patrick,5.0
Mt Carmel,14.0,Northside,9.0
Brother Rice,17.0,Senn,7.0
Brother Rice,12.0,Lane,7.0
Northside,9.0,St Patrick,8.0
Lane,24.0,Senn,5.0
St Patrick,15.0,Senn,14.0
Lane,14.0,Northside,0.0
Brother Rice,23.0,Mt Carmel,8.0
Stevenson,8.0,Fremd,7.0
Whitney Young,9.0,Lyons,8.0
Whitney Young,12.0,Stevenson,8.0
Lyons,16.0,Fremd,4.0
Whitney Young,11.0,Fremd,7.0
Lyons,14.0,Stevenson,7.0
Amundsen,19.0,Von,13.0
Barrington,11.0,Metea,7.0
Kenwood,18.0,Brooks,12.0
Libertyville,11.0,Conant,10.0
McHenry,15.0,Hoffman,6.0
Niles West,15.0,Maine West,13.0
Northside,17.0,Senn,8.0
St Patrick,14.0,Warren,7.0
Taft,19.0,Westinghouse,10.0
Argo,8.0,Stagg,7.0
Curie,14.0,Jones-Payton,4.0
Evanston,11.0,Deerfield,3.0
HP,17.0,Lake Forest,13.0
Lane,18.0,Lindblom,8.0
LWE,20.0,Bradley,6.0
Maine South,10.0,GBS,4.0
NC,11.0,Neuqua,9.0
New Trier,13.0,GBN,1.0
Oak Park,13.0,Morton,3.0
Richards,18.0,Morton,2.0
Sandburg,5.0,Bremen,3.0
Solorio,22.0,Julian,5.0
STC,13.0,Lockport,7.0
Taft,17.0,Leyden,7.0
VH,18.0,Maine East,5.0
Whitney Young,14.0,LWW,6.0
York,19.0,HC,4.0
Amundsen,13.0,Taft,10.0
Brooks,14.0,Solorio,12.0
Brother Rice,15.0,St Rita,8.0
Chicago Ag,24.0,Julian,5.0
Fremd,10.0,Meadows,0.0
Kennedy,20.0,Kenwood,9.0
LWW,18.0,Bremen,3.0
Northside,16.0,Von,12.0
Senn,14.0,Prosser,4.0
St Ignatius,11.0,St Patrick,5.0
Waubonsie,10.0,Oak Park,7.0
Andrew,15.0,Bradley,4.0
BG,14.0,Lindbergh,6.0
Bremen,9.0,Shepard,6.0
Brooks,24.0,Little Village,1.0
Evanston,11.0,Loyola,9.0
Fremd,8.0,HC,7.0
GBN,4.0,GBS,3.0
Kennedy,16.0,Argo,8.0
Lane,11.0,Jones-Payton,0.0
LWC,18.0,Lockport,9.0
Maine West,10.0,HP,6.0
Maine South,14.0,Deerfield,7.0
Niles West,14.0,Maine East,1.0
Northside,17.0,Westinghouse,3.0
Senn,22.0,Leyden,13.0
Whitney Young,15.0,Lindblom,10.0
Fenwick,10.0,Oak Park,8.0
Lyons,13.0,Waubonsie,7.0
New Trier,11.0,Brother Rice,7.0
Stevenson,8.0,NC,2.0
NN,14.0,Waubonsie,5.0
Brother Rice,12.0,Neuqua,10.0
Fenwick,,Parkway West,
Stevenson,8.0,LWE,7.0
NN,12.0,Lyons,2.0
New Trier,16.0,Neuqua,1.0
Oak Park,,Parkway West,
LWE,8.0,NC,7.0
Maine South,8.0,GBS,3.0
H-F,9.0,St Ignatius,6.0
Sandburg,10.0,St Rita,9.0
Curie,19.0,St Ignatius,6.0
St Rita,15.0,Shepard,3.0
Metea,15.0,Bremen,3.0
Conant,12.0,Bremen,7.0
Lindbergh,13.0,Mundelein,8.0
HC,7.0,GBN,1.0
Lindbergh,11.0,Deerfield,4.0
GBN,11.0,Lockport,2.0
Mundelein,17.0,Deerfield,1.0
HC,20.0,Lockport,2.0
Lafayette,,Hoffman,
Schaumburg,10.0,McHenry,4.0
Niles West,14.0,LWW,7.0
Evanston,14.0,Mt Carmel,5.0
Niles West,13.0,Hoffman,8.0
Schaumburg,17.0,Mt Carmel,3.0
STC,15.0,Barrington,3.0
GBS,8.0,Maine West,7.0
Maine South,14.0,R-B,9.0
Maine West,11.0,Maine South,10.0
GBS,13.0,R-B,1.0
Neuqua,9.0,Parkway West,1.0
Waubonsie,15.0,NC,10.0
Brother Rice,14.0,Oak Park,8.0
Lyons,,LWE,
New Trier,18.0,Fenwick,7.0
NN,13.0,Stevenson,8.0
NC,12.0,Parkway West,3.0
Waubonsie,8.0,Neuqua,7.0
LWE,13.0,Oak Park,3.0
Brother Rice,15.0,Lyons,8.0
Stevenson,,Fenwick,
New Trier,16.0,NN,14.0
Curie,,H-F,
Sandburg,,Shepard,
Shepard,11.0,St Ignatius,8.0
St Rita,11.0,H-F,7.0
Curie,18.0,Sandburg,14.0
Metea,11.0,Conant,9.0
Lane,11.0,Bremen,2.0
Lane,14.0,Conant,9.0
Lane,15.0,Metea,6.0
GBN,8.0,Deerfield,3.0
Lindbergh,11.0,Lockport,5.0
HC,13.0,Mundelein,3.0
Deerfield,8.0,Lockport,3.0
Mundelein,8.0,GBN,5.0
HC,10.0,Lindbergh,6.0
Lafayette,8.0,LWW,7.0
McHenry,12.0,Mt Carmel,11.0
LWW,,Hoffman,
Evanston,10.0,Schaumburg,5.0
Lafayette,12.0,Niles West,11.0
Evanston,12.0,McHenry,3.0
Hoffman,13.0,Mt Carmel,8.0
LWW,11.0,McHenry,4.0
Schaumburg,14.0,Niles West,12.0
Evanston,11.0,Lafayette,6.0
Brother Rice,18.0,Loyola,5.0
St Rita,15.0,Mt Carmel,4.0
Neuqua,13.0,HC,8.0
NN,18.0,LWE,10.0
Andrew,12.0,LWW,10.0
Lockport,10.0,H-F,6.0
NN,16.0,NC,4.0
Neuqua,12.0,Metea,4.0
STC,8.0,Waubonsie,4.0
STC,18.0,LWC,10.0
Mt Carmel,18.0,St Patrick,6.0
H-F,6.0,Stagg,4.0
LWE,9.0,Andrew,8.0
Metea,7.0,Lockport,4.0
Morton,19.0,Leyden,10.0
Bradley,11.0,HP,1.0
Taft,14.0,Maine East,4.0
Bradley,18.0,Taft,8.0
Taft,9.0,HP,8.0
HP,,Maine East,
Bradley,14.0,Maine East,4.0
SLUH,11.0,York,10.0
Stevenson,10.0,Whitney Young,6.0
New Trier,12.0,Lyons,2.0
NN,15.0,St Ignatius,4.0
York,12.0,Stevenson,11.0
NN,13.0,Lyons,5.0
Whitney Young,4.0,SLUH,3.0
New Trier,14.0,St Ignatius,5.0
York,16.0,Whitney Young,3.0
Lyons,22.0,St Ignatius,4.0
SLUH,9.0,Stevenson,6.0
New Trier,14.0,NN,13.0
Whitney Young,13.0,St Ignatius,9.0
Stevenson,11.0,Lyons,7.0
NN,16.0,York,9.0
New Trier,13.0,SLUH,12.0
Bremen,9.0,Argo,8.0
Fenwick,15.0,St Ignatius,4.0
Loyola,19.0,Mt Carmel,11.0
Maine West,16.0,Meadows,10.0
St Rita,17.0,Warren,5.0
Andrew,14.0,Lockport,6.0
GBS,10.0,Mundelein,7.0
Hoffman,20.0,Lake Forest,5.0
HP,10.0,Warren,9.0
Libertyville,11.0,VH,7.0
LWE,11.0,LWW,10.0
Niles West,17.0,Latin,1.0
Sandburg,16.0,LWC,13.0
Stevenson,23.0,GBN,7.0
Barrington,23.0,Hoffman,10.0
Brother Rice,14.0,Fenwick,11.0
Curie,17.0,Kenwood,2.0
Fremd,16.0,Conant,9.0
Hersey,15.0,Elk Grove,7.0
Jones-Payton,11.0,Taft,9.0
Lane,14.0,Deerfield,3.0
Loyola,14.0,St Ignatius,9.0
Meadows,14.0,Wheeling,10.0
Mt Carmel,18.0,Brooks,12.0
Palatine,9.0,Schaumburg,6.0
Prospect,11.0,BG,10.0
Solorio,16.0,Chicago U,7.0
Whitney Young,16.0,Amundsen,9.0
Amundsen,18.0,Senn,8.0
BG,10.0,Mundelein,8.0
Bradley,9.0,Bremen,4.0
Kennedy,18.0,Brooks,6.0
Kenwood,18.0,Julian,2.0
Lane,19.0,Curie,1.0
Loyola,9.0,GBS,8.0
LWW,17.0,Shepard,3.0
Mt Carmel,11.0,Westinghouse,5.0
New Trier,14.0,Evanston,4.0
Niles West,10.0,GBN,6.0
Schaumburg,10.0,Libertyville,8.0
Taft,17.0,Latin,6.0
Barrington,11.0,BG,10.0
Chaminade,6.0,STC,5.0
Conant,14.0,Sandburg,9.0
Little Village,12.0,Julian,11.0
Meadows,17.0,Maine East,6.0
STC,8.0,Hersey,5.0
Taft,14.0,Von,8.0
Palatine,18.0,Curie,11.0
Palatine,9.0,Oakville,2.0
Oakville,14.0,Curie,9.0
LWC,19.0,Shepard,7.0
Mt Carmel,15.0,Jones-Payton,4.0
Schaumburg,5.0,Andrew,4.0
LWC,15.0,Jones-Payton,2.0
Mt Carmel,11.0,Shepard,10.0
Brooks,13.0,Westinghouse,4.0
Brooks,11.0,Von,10.0
Brooks,7.0,Senn,6.0
Senn,16.0,Chicago Ag,8.0
Senn,16.0,Julian,6.0
BG,17.0,Deerfield,8.0
LWW,16.0,Deerfield,3.0
LWW,11.0,BG,10.0
Andrew,8.0,Lockport,6.0
Shepard,9.0,Jones-Payton,7.0
Andrew,15.0,H-F,5.0
Schaumburg,10.0,Lockport,4.0
LWC,19.0,Mt Carmel,9.0
Schaumburg,14.0,H-F,4.0
Andrew,14.0,Mt Carmel,3.0
Schaumburg,17.0,LWC,12.0
STC,11.0,Mundelein,4.0
Maine South,19.0,Bradley,9.0
STC,14.0,Oakville,3.0
Maine South,15.0,Chaminade,10.0
Oakville,12.0,Mundelein,9.0
Chaminade,14.0,Bradley,6.0
Mundelein,19.0,Bradley,11.0
Chaminade,10.0,Oakville,9.0
STC,6.0,Maine South,5.0
Stevenson,9.0,Evanston,6.0
Stevenson,14.0,Fenwick,6.0
Evanston,14.0,Fenwick,8.0
Andrew,16.0,Bremen,1.0
Barrington,23.0,Lake Forest,11.0
Brother Rice,27.0,Mt Carmel,14.0
Conant,11.0,McHenry,6.0
Curie,23.0,Chicago Ag,5.0
Jones-Payton,14.0,St Ignatius,9.0
Kennedy,14.0,Little Village,5.0
Lane,22.0,Amundsen,6.0
Lindblom,8.0,Northside,5.0
Loyola,9.0,St Patrick,4.0
LWC,22.0,Argo,12.0
Maine East,7.0,Morton,6.0
Meadows,9.0,HP,8.0
